Timestamp,Data,Type
0.873151,00a1#8086808028000000,Normal
0.873387,0545#d80e008c2a002e00,Normal
0.873625,0153#008010ff00ff20ae,Normal
0.873858,0220#e903fc030c003a10,Normal
0.875524,02b0#1500000747,Normal
0.875732,0165#0ee87f000000079e,Normal
0.877006,0350#0520d4797b0000f3,Normal
0.878599,04b1#0001000000000001,Normal
0.878821,0164#0008000000000901,Normal
0.87966,04f2#000020380000009e,Normal
0.879879,0316#051f020b201a007f,Normal
0.880106,0329#40a77f8c112f0010,Normal
0.880353,018f#0029200000450000,Normal
0.880586,0080#0017020b1f1a203b,Normal
0.880835,0081#7f846000000000db,Normal
0.881068,0260#05200030ff935f35,Normal
0.881302,02a0#6200609ddb0cba02,Normal
0.881388,02c0#,Normal
0.881656,02c0#3d00000000000000,Normal
0.881893,0370#ff200080ff0000ec,Normal
0.882136,0382#40fe0f0000000008,Normal
0.88238,043f#105060ff4ba80900,Normal
0.882628,0440#fff00000ffb00900,Normal
0.882859,0545#d817008c29002d00,Normal
0.883543,0153#008010ff00ff30be,Normal
0.883778,01f1#0000000000000000,Normal
0.884013,0220#e90303040c003d10,Normal
0.885527,02b0#1600000788,Normal
0.885741,0165#0ee87f0000000891,Normal
0.888532,04b0#0000000000000000,Normal
0.888746,0164#0008000000000a02,Normal
0.889969,043f#105060ff4bac0900,Normal
0.890187,0370#ff200080ff0000a0,Normal
0.89043,0440#ff000000ffb40900,Normal
0.890674,0260#05200030ff935f08,Normal
0.890903,02a0#0200609ddb0cba02,Normal
0.891151,0080#0017d40a201a202c,Normal
0.891386,0081#7f846000000000cc,Normal
0.891627,018f#0029200000450000,Normal
0.89187,0316#0520d40a201a007f,Normal
0.892098,0329#85a77f8c112f0010,Normal
0.892184,04b0#,Normal
0.892445,04b0#0000000000000000,Normal
0.89269,04f0#00003e0000ced204,Normal
0.89293,0545#d817008c30003000,Normal
0.89317,04f1#c016000000000000,Normal
0.893431,0690#03000120a0000c08,Normal
0.893672,0153#008010ff00ff40ce,Normal
0.893913,0220#eb03090409003810,Normal
0.895408,05e4#000200,Normal
0.895651,0165#0ee87f0000000990,Normal
0.895795,02b0#15000007a9,Normal
0.897007,0350#0520e4797b0000c3,Normal
0.898439,04b1#0001000000000001,Normal
0.898656,0164#0008000000000b03,Normal
0.899727,04f2#000030380000009f,Normal
0.899944,0370#ff200080ff000064,Normal
0.900181,0316#0520d40a201a007f,Normal
0.900419,0329#85a77f8c112f0010,Normal
0.900658,0080#0017d40a201a201d,Normal
0.900896,0081#7f846000000000bd,Normal
0.901135,018f#0029200000450000,Normal
0.901372,0260#05200030ff935f17,Normal
0.90161,02a0#a200609ddb0cba02,Normal
0.901852,0382#40fe0f000000000c,Normal
